"","aic","r2","adjr2"
"334",2475.195,0.4279979,0.07341224
"335",2480.926,0.4124354,0.05857533
"336",2486.269,0.5466067,0.124998
"337",2446.776,0.5131454,0.147469
"338",2495.127,0.4476491,0.05947479
"339",2444.946,0.6460653,0.250197
"340",2465.685,0.508203,0.1275556
"341",2472.895,0.5611257,0.1560747
"342",2474.139,0.4221213,0.06774507
"343",2437.79,0.5281021,0.1654917
"344",2484.423,0.3580451,0.03394727
"345",2467.32,0.4197472,0.07642917
"346",2487.106,0.2398197,-0.001828238
"347",2494.717,0.4960466,0.09464377
"348",2484.319,0.4605521,0.07704112
"349",2451.635,0.5150701,0.1393482
"350",2465.56,0.3945549,0.06799352
"351",2462.347,0.5997728,0.1975623
"352",2478.797,0.2964824,0.01957983
"353",2449.003,0.5548218,0.1757112
"354",2446.14,0.4418393,0.1082189
"355",2428.223,0.5560253,0.1907352
"356",2466.171,0.4098902,0.0672612
"357",2464.959,0.5670834,0.1679251
"358",2483.351,0.3378336,0.0221375
"359",2436.289,0.4967963,0.1455869
"360",2455.886,0.5180067,0.1393892
"361",2463.178,0.473764,0.1060957
"362",2477.591,0.5151444,0.1215095
"363",2452.673,0.5793609,0.188656
"364",2489.176,0.5388159,0.1220801
"365",2448.656,0.481962,0.1256606
"366",2476.529,0.4749479,0.0965048
"367",2462.28,0.4717466,0.1002837
"368",2454.094,0.6243524,0.2251202
"369",2433.044,0.5485311,0.1742979
"370",2452.551,0.5032848,0.1358704
"371",2455.162,0.5545751,0.1684848
"372",2460.39,0.5855702,0.1764635
"373",2456.375,0.5400955,0.152995
"374",2487.609,0.4909618,0.09241452
"375",2476.229,0.4338579,0.07548726
"376",2452.444,0.5431689,0.1639434
"377",2479.278,0.4435079,0.07037374
"378",2464.801,0.4707903,0.09924068
"379",2485.279,0.295303,0.01142459
"380",2480.85,0.6046028,0.1760692
"381",2461.411,0.5287218,0.138458
"382",2437.092,0.5023507,0.1518824
"383",2463.506,0.518642,0.1258333
"384",2494.551,0.3796782,0.02914083
"385",2501.534,0.3732181,0.02362346
"386",2469.945,0.5471165,0.1515172
"387",2464.339,0.4529708,0.09479125
"388",2480.314,0.4177392,0.05985414
"389",2461.077,0.5058194,0.1318288
"390",2464.631,0.4926872,0.1165308
"391",2445.35,0.5694958,0.185216
"392",2483.437,0.4982812,0.1048031
"393",2484.845,0.1971191,0.0005494657
"394",2473.653,0.3685911,0.04977644
"395",2480.022,0.5438387,0.1362533
"396",2506.455,0.4489358,0.05307004
"397",2470.511,0.607802,0.202751
"398",2477.398,0.4659965,0.0903759
"399",2490.303,0.3671625,0.02623524
"400",2451.305,0.4950169,0.1298273
"401",2484.156,0.2980455,0.01318689
"402",2452.448,0.5302956,0.1475547
"403",2454.82,0.5551047,0.1691905
"404",2451.93,0.4650096,0.1109057
"405",2458.266,0.65895,0.2551365
"406",2484.115,0.4495866,0.07291808
"407",2467.309,0.4511252,0.0964763
"408",2433.548,0.6145019,0.2333683
"409",2427.63,0.6620573,0.2771202
"410",2479.253,0.4736261,0.09134826
"411",2456.319,0.4605518,0.1097441
"412",2435.094,0.5728545,0.1932325
"413",2481.585,0.47302,0.0943726
"414",2466.107,0.4683852,0.09296926
"415",2472.265,0.5942908,0.1822163
"416",2463.594,0.4874397,0.1212468
"417",2465.329,0.5222662,0.133953
"418",2447.444,0.5447528,0.1694192
"419",2463.63,0.5444587,0.1551336
"420",2480.038,0.4648089,0.07789166
"421",2463.497,0.5119243,0.1320208
"422",2457.41,0.3513527,0.05424727
"423",2449.97,0.6112469,0.214977
"424",2464.504,0.3754575,0.06257761
"425",2464.804,0.5231369,0.131433
"426",2489.256,0.5666366,0.1491228
"427",2474.123,0.3406515,0.03903209
"428",2468.405,0.3354046,0.04243015
"429",2468.929,0.324884,0.03493512
"430",2465.181,0.3911369,0.06141922
"431",2464.775,0.4248507,0.07765869
"432",2484.276,0.3672225,0.03760705
"433",2461.881,0.4104843,0.07503385
"434",2439.626,0.5476174,0.1765038
"435",2458.27,0.5711069,0.1770587
"436",2459.701,0.5347537,0.146129
